sex,agegrp,activity,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47
male,5,180000,0.001,0.0,0.003,0.001,0.001,0.0,0.001,0.001,0.005,0.009,0.009,0.02,0.029,0.06,0.072,0.08,0.091,0.127,0.13,0.136,0.149,0.146,0.141,0.147,0.16,0.145,0.135,0.113,0.129,0.131,0.139,0.102,0.135,0.102,0.133,0.106,0.113,0.085,0.064,0.064,0.039,0.035,0.044,0.029,0.029,0.007,0.008,0.002
female,0,060000,0.016,0.016,0.007,0.004,0.004,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.003,0.014,0.06,0.102,0.165,0.182,0.197,0.202,0.222,0.224,0.212,0.192,0.188,0.179,0.186,0.181,0.163,0.136,0.101,0.082,0.073,0.067,0.064,0.07,0.059,0.083,0.086,0.076,0.078,0.073,0.045,0.04,0.037,0.027,0.022,0.017
female,0,150000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.002,0.007,0.01,0.01,0.011,0.009,0.009,0.014,0.014,0.004,0.005,0.005,0.005,0.005,0.002,0.009,0.009,0.005,0.008,0.008,0.006,0.015,0.015,0.013,0.018,0.012,0.011,0.008,0.007,0.001,0.0,0.0,0.0
female,0,040000,0.006,0.001,0.003,0.004,0.005,0.003,0.001,0.0,0.0,0.0,0.002,0.002,0.0,0.007,0.0,0.002,0.0,0.001,0.001,0.002,0.001,0.002,0.003,0.008,0.018,0.013,0.011,0.01,0.011,0.018,0.025,0.012,0.02,0.015,0.019,0.017,0.019,0.007,0.019,0.006,0.016,0.004,0.016,0.008,0.004,0.002,0.008,0.015
female,0,020000,0.005,0.006,0.007,0.006,0.001,0.001,0.0,0.005,0.011,0.003,0.008,0.01,0.02,0.024,0.046,0.039,0.038,0.034,0.078,0.063,0.113,0.106,0.105,0.117,0.119,0.121,0.122,0.062,0.077,0.091,0.089,0.098,0.136,0.123,0.127,0.094,0.122,0.095,0.098,0.104,0.058,0.055,0.035,0.044,0.037,0.015,0.015,0.012
female,0,130000,0.007,0.004,0.004,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.011,0.014,0.013,0.023,0.018,0.017,0.014,0.017,0.017,0.019,0.022,0.016,0.017,0.026,0.027,0.036,0.034,0.043,0.033,0.032,0.018,0.021,0.032,0.031,0.021,0.019,0.03,0.033,0.023,0.014,0.014,0.011,0.01,0.005,0.009,0.006,0.006
female,0,140000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.004,0.002,0.001,0.001,0.002,0.003,0.004,0.008,0.018,0.016,0.015,0.016,0.01,0.008,0.005,0.002,0.002,0.003,0.001,0.001,0.001,0.0,0.003,0.004,0.004,0.002,0.014,0.014,0.009,0.004,0.002,0.003,0.003,0.003,0.004,0.003
female,0,160000,0.007,0.004,0.004,0.003,0.004,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.002,0.002,0.007,0.008,0.003,0.004,0.009,0.014,0.009,0.007,0.01,0.016,0.018,0.017,0.014,0.018,0.028,0.034,0.033,0.021,0.014,0.014,0.015,0.016,0.017,0.03,0.029,0.025,0.008,0.008
female,0,120000,0.108,0.084,0.059,0.058,0.021,0.009,0.007,0.008,0.013,0.016,0.016,0.018,0.02,0.042,0.053,0.061,0.055,0.052,0.088,0.126,0.143,0.163,0.178,0.17,0.172,0.192,0.188,0.209,0.218,0.248,0.264,0.29,0.314,0.296,0.275,0.327,0.329,0.358,0.389,0.436,0.444,0.474,0.485,0.465,0.336,0.29,0.213,0.176
female,0,080000,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.004,0.004,0.012,0.018,0.013,0.009,0.009,0.01,0.013,0.009,0.005,0.005,0.013,0.006,0.021,0.016,0.013,0.003,0.005,0.006,0.006,0.007,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.001,0.001,0.001,0.001
female,0,010101,0.817,0.846,0.896,0.91,0.949,0.967,0.972,0.964,0.94,0.939,0.934,0.905,0.795,0.765,0.648,0.564,0.464,0.407,0.302,0.262,0.148,0.139,0.082,0.082,0.055,0.052,0.071,0.077,0.067,0.072,0.058,0.084,0.07,0.07,0.042,0.037,0.027,0.023,0.021,0.027,0.077,0.109,0.158,0.242,0.403,0.528,0.675,0.744
female,0,070000,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.005,0.0,0.001,0.001,0.002,0.004,0.007,0.02,0.032,0.033,0.038,0.044,0.058,0.052,0.059,0.073,0.061,0.043,0.046,0.077,0.057,0.062,0.059,0.049,0.052,0.046,0.051,0.038,0.031,0.026,0.018,0.019,0.016,0.01,0.003,0.0,0.007
female,0,050000,0.017,0.015,0.014,0.014,0.01,0.012,0.013,0.012,0.016,0.015,0.015,0.017,0.024,0.031,0.054,0.079,0.099,0.118,0.134,0.143,0.153,0.157,0.156,0.18,0.171,0.18,0.182,0.197,0.189,0.197,0.183,0.179,0.173,0.161,0.162,0.125,0.117,0.129,0.116,0.117,0.103,0.106,0.085,0.063,0.048,0.037,0.032,0.019
female,0,030000,0.002,0.0,0.001,0.003,0.001,0.007,0.007,0.0,0.012,0.007,0.004,0.007,0.012,0.021,0.045,0.044,0.054,0.032,0.043,0.039,0.046,0.031,0.038,0.024,0.019,0.028,0.035,0.031,0.037,0.04,0.045,0.036,0.043,0.035,0.033,0.03,0.037,0.035,0.047,0.059,0.035,0.034,0.027,0.021,0.021,0.008,0.011,0.002
female,0,500106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.001,0.001,0.0,0.002,0.002,0.0,0.001,0.001,0.001,0.001,0.003,0.011,0.008,0.011,0.0,0.0,0.001,0.001,0.001,0.0,0.002,0.002,0.001,0.004,0.004,0.004,0.002,0.0,0.0,0.0
female,0,010000,0.006,0.014,0.027,0.0,0.014,0.011,0.003,0.01,0.011,0.017,0.019,0.053,0.107,0.115,0.098,0.089,0.119,0.096,0.092,0.068,0.07,0.043,0.059,0.048,0.046,0.041,0.027,0.022,0.028,0.055,0.058,0.04,0.038,0.051,0.059,0.062,0.059,0.049,0.041,0.06,0.096,0.071,0.093,0.068,0.092,0.068,0.055,0.02
female,0,110000,0.004,0.003,0.003,0.003,0.007,0.007,0.003,0.003,0.0,0.005,0.009,0.013,0.03,0.024,0.049,0.055,0.051,0.042,0.066,0.039,0.112,0.046,0.112,0.086,0.132,0.105,0.083,0.046,0.069,0.045,0.047,0.05,0.045,0.06,0.098,0.144,0.169,0.141,0.129,0.091,0.074,0.044,0.048,0.034,0.027,0.027,0.016,0.018
female,0,other,0.002,0.003,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.006,0.006,0.013,0.005,0.009,0.011,0.012,0.01,0.011,0.009,0.025,0.03,0.026,0.028,0.026,0.027,0.022,0.015,0.016,0.009,0.013,0.016,0.016,0.01,0.004,0.013,0.011,0.012,0.013,0.011,0.006,0.007,0.001,0.0,0.005
female,0,180000,0.032,0.014,0.016,0.004,0.014,0.01,0.001,0.002,0.017,0.009,0.012,0.012,0.054,0.103,0.152,0.109,0.102,0.108,0.1,0.136,0.111,0.112,0.11,0.145,0.179,0.169,0.168,0.165,0.154,0.187,0.268,0.218,0.196,0.177,0.148,0.188,0.192,0.138,0.135,0.105,0.1,0.084,0.107,0.11,0.079,0.061,0.028,0.033
female,1,060000,0.003,0.003,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.001,0.004,0.01,0.018,0.02,0.026,0.035,0.038,0.038,0.04,0.04,0.034,0.041,0.044,0.028,0.028,0.032,0.034,0.033,0.028,0.023,0.027,0.021,0.017,0.021,0.021,0.024,0.027,0.025,0.025,0.017,0.024,0.015,0.011,0.009
female,1,150000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.002,0.004,0.003,0.003,0.004,0.003,0.003,0.004,0.002,0.001,0.001,0.001,0.005,0.005,0.003,0.003,0.002,0.003,0.004,0.003,0.004,0.004,0.004,0.006,0.004,0.004,0.002,0.002,0.0,0.003,0.002
female,1,040000,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.009,0.006,0.005,0.005,0.005,0.005,0.003,0.004,0.006,0.006,0.008,0.009,0.006,0.007,0.007,0.008,0.005,0.004,0.01,0.005,0.009,0.005,0.017,0.008,0.01,0.01,0.009,0.009,0.007,0.013,0.005,0.002,0.0,0.0
female,1,020000,0.007,0.004,0.003,0.005,0.003,0.003,0.006,0.009,0.018,0.014,0.015,0.028,0.067,0.108,0.142,0.126,0.166,0.143,0.169,0.161,0.175,0.169,0.169,0.163,0.158,0.131,0.147,0.156,0.135,0.135,0.169,0.179,0.174,0.188,0.223,0.223,0.187,0.185,0.157,0.128,0.114,0.091,0.081,0.063,0.053,0.025,0.014,0.012
female,1,130000,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.002,0.002,0.003,0.011,0.005,0.005,0.017,0.01,0.013,0.007,0.014,0.019,0.024,0.017,0.016,0.014,0.02,0.027,0.016,0.016,0.014,0.013,0.018,0.018,0.025,0.018,0.023,0.02,0.022,0.022,0.031,0.039,0.021,0.012,0.008,0.009,0.01,0.003,0.001,0.001
female,1,140000,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.006,0.002,0.008,0.006,0.002,0.003,0.007,0.01,0.018,0.014,0.018,0.016,0.02,0.023,0.011,0.006,0.008,0.013,0.014,0.012,0.014,0.011,0.012,0.011,0.012,0.007,0.012,0.009,0.014,0.013,0.015,0.013,0.01,0.008,0.003,0.002,0.004,0.002
female,1,160000,0.008,0.003,0.002,0.001,0.002,0.003,0.002,0.002,0.002,0.0,0.0,0.0,0.0,0.003,0.0,0.001,0.002,0.005,0.003,0.005,0.004,0.006,0.004,0.004,0.002,0.006,0.008,0.011,0.005,0.002,0.002,0.003,0.008,0.007,0.006,0.011,0.007,0.006,0.004,0.006,0.01,0.004,0.016,0.01,0.004,0.01,0.005,0.007
female,1,120000,0.061,0.049,0.034,0.027,0.013,0.014,0.011,0.005,0.004,0.005,0.005,0.008,0.016,0.021,0.049,0.064,0.065,0.082,0.086,0.107,0.124,0.148,0.127,0.141,0.166,0.19,0.194,0.19,0.198,0.205,0.179,0.194,0.227,0.221,0.24,0.247,0.303,0.362,0.363,0.416,0.45,0.484,0.44,0.369,0.285,0.216,0.143,0.103
female,1,080000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.002,0.002,0.008,0.01,0.009,0.011,0.009,0.009,0.012,0.005,0.005,0.006,0.004,0.007,0.01,0.005,0.005,0.01,0.014,0.004,0.002,0.001,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0
female,1,010101,0.888,0.906,0.929,0.938,0.958,0.963,0.962,0.968,0.936,0.927,0.896,0.845,0.719,0.615,0.435,0.365,0.264,0.224,0.139,0.117,0.065,0.063,0.041,0.043,0.032,0.039,0.046,0.056,0.047,0.03,0.028,0.028,0.024,0.022,0.022,0.024,0.025,0.024,0.025,0.04,0.069,0.118,0.225,0.323,0.487,0.598,0.732,0.812
female,1,070000,0.0,0.0,0.001,0.001,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.003,0.01,0.007,0.009,0.012,0.023,0.029,0.028,0.035,0.045,0.061,0.047,0.048,0.049,0.045,0.046,0.042,0.046,0.041,0.047,0.05,0.048,0.049,0.047,0.037,0.036,0.033,0.026,0.021,0.021,0.012,0.006,0.009,0.002,0.002
female,1,050000,0.016,0.016,0.015,0.014,0.011,0.013,0.013,0.014,0.017,0.018,0.02,0.025,0.042,0.073,0.102,0.174,0.251,0.3,0.325,0.349,0.358,0.363,0.357,0.334,0.29,0.292,0.317,0.338,0.348,0.346,0.336,0.31,0.279,0.235,0.176,0.128,0.099,0.077,0.07,0.063,0.057,0.057,0.053,0.053,0.044,0.045,0.032,0.023
female,1,030000,0.005,0.007,0.013,0.01,0.014,0.008,0.01,0.005,0.027,0.022,0.021,0.032,0.068,0.111,0.173,0.15,0.138,0.11,0.098,0.092,0.076,0.077,0.081,0.086,0.087,0.081,0.08,0.094,0.088,0.112,0.124,0.122,0.14,0.117,0.1,0.112,0.139,0.145,0.196,0.206,0.192,0.157,0.099,0.078,0.048,0.03,0.017,0.014
female,1,500106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.005,0.008,0.006,0.006,0.004,0.002,0.003,0.001,0.003,0.004,0.006,0.002,0.002,0.006,0.003,0.004,0.008,0.002,0.006,0.01,0.011,0.007,0.005,0.006,0.007,0.002,0.005,0.003,0.003,0.001,0.002,0.002,0.002,0.001,0.005,0.004,0.0
female,1,010000,0.028,0.015,0.014,0.011,0.002,0.006,0.007,0.001,0.013,0.023,0.049,0.077,0.095,0.133,0.136,0.123,0.104,0.068,0.087,0.066,0.054,0.038,0.039,0.043,0.026,0.032,0.028,0.02,0.036,0.029,0.026,0.021,0.032,0.022,0.031,0.031,0.024,0.036,0.048,0.053,0.057,0.071,0.1,0.085,0.1,0.077,0.061,0.054
female,1,110000,0.004,0.002,0.004,0.002,0.0,0.001,0.0,0.001,0.001,0.005,0.006,0.011,0.019,0.042,0.062,0.052,0.072,0.062,0.056,0.036,0.055,0.053,0.059,0.089,0.178,0.123,0.118,0.063,0.049,0.025,0.032,0.047,0.042,0.064,0.087,0.157,0.16,0.155,0.126,0.096,0.084,0.047,0.04,0.022,0.029,0.009,0.011,0.004
female,1,other,0.0,0.0,0.0,0.0,0.004,0.0,0.001,0.001,0.001,0.002,0.002,0.003,0.014,0.015,0.014,0.016,0.016,0.009,0.01,0.008,0.009,0.007,0.011,0.013,0.005,0.016,0.01,0.005,0.005,0.008,0.004,0.007,0.008,0.009,0.005,0.009,0.008,0.01,0.009,0.011,0.009,0.007,0.005,0.007,0.007,0.005,0.009,0.005
female,1,180000,0.003,0.006,0.005,0.002,0.007,0.003,0.002,0.001,0.004,0.006,0.013,0.034,0.045,0.084,0.186,0.179,0.15,0.149,0.128,0.088,0.13,0.114,0.112,0.115,0.184,0.145,0.152,0.137,0.133,0.109,0.166,0.155,0.169,0.2,0.259,0.201,0.199,0.127,0.126,0.099,0.112,0.075,0.087,0.076,0.061,0.038,0.03,0.014
female,2,060000,0.002,0.002,0.001,0.001,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.002,0.003,0.002,0.004,0.005,0.004,0.009,0.01,0.01,0.01,0.01,0.013,0.013,0.013,0.012,0.012,0.012,0.011,0.01,0.012,0.008,0.008,0.007,0.008,0.002,0.003,0.004,0.01,0.01,0.006,0.013,0.011,0.006,0.006,0.003,0.003,0.002
female,2,150000,0.002,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.003,0.007,0.008,0.006,0.008,0.013,0.021,0.019,0.017,0.016,0.012,0.01,0.009,0.011,0.011,0.012,0.007,0.008,0.01,0.009,0.012,0.02,0.017,0.017,0.014,0.012,0.011,0.008,0.009,0.006,0.004,0.002,0.001,0.001
female,2,040000,0.002,0.001,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.003,0.004,0.002,0.01,0.004,0.012,0.011,0.013,0.013,0.012,0.012,0.01,0.013,0.009,0.013,0.016,0.018,0.026,0.014,0.024,0.013,0.008,0.003,0.007,0.007,0.007,0.004,0.007,0.004,0.004,0.003,0.003,0.004,0.003,0.003
female,2,020000,0.01,0.008,0.006,0.003,0.002,0.003,0.003,0.006,0.007,0.01,0.037,0.051,0.114,0.167,0.164,0.15,0.171,0.184,0.211,0.206,0.202,0.197,0.191,0.186,0.193,0.187,0.185,0.203,0.181,0.169,0.172,0.179,0.211,0.255,0.268,0.258,0.237,0.201,0.166,0.148,0.135,0.125,0.101,0.074,0.058,0.033,0.028,0.015
female,2,130000,0.001,0.0,0.0,0.0,0.001,0.001,0.001,0.001,0.001,0.004,0.008,0.008,0.005,0.007,0.008,0.017,0.023,0.019,0.018,0.018,0.017,0.018,0.019,0.015,0.013,0.019,0.018,0.014,0.009,0.015,0.019,0.011,0.017,0.02,0.026,0.029,0.033,0.027,0.026,0.026,0.023,0.018,0.014,0.005,0.006,0.0,0.0,0.001
female,2,140000,0.001,0.0,0.001,0.0,0.0,0.0,0.001,0.001,0.002,0.0,0.001,0.001,0.002,0.004,0.003,0.004,0.006,0.009,0.013,0.013,0.022,0.023,0.026,0.025,0.015,0.009,0.007,0.008,0.008,0.01,0.008,0.006,0.004,0.004,0.004,0.006,0.011,0.011,0.012,0.013,0.016,0.01,0.003,0.006,0.001,0.002,0.007,0.004
female,2,160000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.002,0.001,0.005,0.005,0.005,0.004,0.008,0.006,0.003,0.011,0.006,0.008,0.008,0.014,0.008,0.004,0.006,0.008,0.01,0.01,0.006,0.005,0.003,0.005,0.008,0.008,0.012,0.013,0.012,0.011,0.01,0.006,0.008,0.002
female,2,120000,0.063,0.048,0.029,0.017,0.014,0.009,0.011,0.01,0.011,0.016,0.015,0.024,0.034,0.042,0.057,0.055,0.067,0.072,0.086,0.093,0.104,0.109,0.118,0.116,0.123,0.133,0.148,0.16,0.157,0.18,0.173,0.204,0.225,0.227,0.209,0.245,0.293,0.306,0.331,0.412,0.454,0.492,0.484,0.451,0.321,0.229,0.149,0.095
female,2,080000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.003,0.007,0.009,0.006,0.003,0.004,0.006,0.002,0.003,0.006,0.011,0.005,0.004,0.009,0.006,0.013,0.018,0.018,0.009,0.008,0.01,0.009,0.001,0.002,0.0,0.0,0.001,0.0,0.003,0.001,0.0,0.0,0.0
female,2,010101,0.887,0.911,0.944,0.962,0.968,0.973,0.97,0.967,0.931,0.919,0.872,0.801,0.61,0.487,0.356,0.306,0.199,0.163,0.09,0.076,0.048,0.043,0.038,0.039,0.031,0.037,0.04,0.038,0.038,0.041,0.037,0.037,0.031,0.03,0.025,0.023,0.018,0.021,0.041,0.045,0.071,0.106,0.186,0.314,0.491,0.637,0.769,0.831
female,2,070000,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.001,0.0,0.001,0.0,0.0,0.0,0.005,0.005,0.009,0.022,0.022,0.023,0.034,0.047,0.048,0.062,0.057,0.066,0.068,0.055,0.051,0.058,0.045,0.045,0.043,0.044,0.041,0.051,0.059,0.045,0.051,0.043,0.03,0.02,0.005,0.009,0.005,0.004,0.001,0.001,0.002
female,2,050000,0.016,0.013,0.013,0.01,0.009,0.009,0.008,0.006,0.017,0.017,0.028,0.051,0.075,0.102,0.162,0.228,0.281,0.334,0.371,0.387,0.387,0.391,0.394,0.373,0.316,0.335,0.348,0.356,0.376,0.36,0.334,0.305,0.257,0.224,0.15,0.097,0.074,0.063,0.062,0.057,0.052,0.046,0.046,0.044,0.036,0.036,0.021,0.018
female,2,030000,0.009,0.007,0.007,0.007,0.006,0.003,0.011,0.006,0.009,0.012,0.016,0.032,0.084,0.149,0.172,0.18,0.121,0.092,0.08,0.063,0.066,0.052,0.067,0.073,0.065,0.059,0.064,0.06,0.073,0.105,0.118,0.142,0.132,0.127,0.131,0.15,0.15,0.147,0.174,0.177,0.195,0.177,0.099,0.078,0.031,0.025,0.012,0.006
female,2,500106,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.002,0.006,0.009,0.009,0.006,0.006,0.004,0.003,0.001,0.002,0.005,0.003,0.004,0.008,0.007,0.009,0.008,0.004,0.002,0.001,0.003,0.004,0.002,0.001,0.002,0.002,0.003,0.005,0.001,0.001,0.001,0.003,0.002,0.001,0.001,0.0
female,2,010000,0.025,0.011,0.006,0.008,0.005,0.007,0.006,0.008,0.035,0.031,0.04,0.081,0.16,0.156,0.13,0.097,0.11,0.085,0.076,0.057,0.045,0.032,0.022,0.019,0.036,0.03,0.028,0.026,0.023,0.017,0.025,0.028,0.027,0.025,0.039,0.04,0.039,0.029,0.051,0.053,0.053,0.066,0.092,0.079,0.093,0.067,0.046,0.029
female,2,110000,0.001,0.001,0.004,0.001,0.002,0.001,0.002,0.0,0.001,0.006,0.006,0.015,0.042,0.063,0.068,0.077,0.073,0.067,0.056,0.067,0.055,0.057,0.065,0.094,0.16,0.126,0.111,0.079,0.064,0.049,0.054,0.037,0.035,0.063,0.128,0.144,0.174,0.165,0.133,0.095,0.071,0.049,0.033,0.026,0.014,0.006,0.008,0.003
female,2,other,0.002,0.002,0.001,0.0,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.011,0.016,0.02,0.018,0.014,0.005,0.008,0.008,0.012,0.012,0.013,0.007,0.006,0.008,0.008,0.006,0.007,0.009,0.007,0.006,0.003,0.003,0.006,0.009,0.017,0.007,0.015,0.016,0.017,0.024,0.013,0.007,0.006,0.008,0.005,0.003
